test,metric,ours,ours_ci95,control,control_ci95,delta,n,note
capability-shift(rssm),performance_recovery_ratio,0.28605535373245927,0.17870762902719536,2.8868609095334508,2.459720010559774,-2.6008055558009913,9,"A=ledger->policy, B=withheld"
ghost-attribution,accuracy,0.119140625,0.05332470082250445,0.9063585069444445,0.02105817806538499,-0.7872178819444445,3,control = always-SELF majority
memory-reliability,stale_trip_rate_per_1k,29.296875,16.204766245725214,32.063802083333336,18.98648055426502,-2.7669270833333357,3,lower is better; control = reliability-blind
forecaster-nmse,nmse_k1,1612.7252567860698,165.50335341661747,1.0,0.0,1611.7252567860698,3,control = identity predictor (NMSE 1.0)
forecaster-nmse,nmse_k10,85.3957417276906,3.7515307056037024,1.0,0.0,84.3957417276906,3,control = identity predictor (NMSE 1.0)
forecaster-nmse,nmse_k100,1.937509441907509,0.08742215950015852,1.0,0.0,0.937509441907509,3,control = identity predictor (NMSE 1.0)
kidnapped-agent,relocalization_ticks,24.694444444444443,40.39370524545613,7.666666666666667,9.42250733321256,17.027777777777775,3,lower is better; control = mirror responses off
seasonal-shift,adaptation_dip,-0.011875000575350389,0.05677951943323534,-0.0023611120155288116,0.007929295924776855,-0.009513888559821578,3,"lower dip = better; control = wake-only; BWT n/a (seasons never return), dip-trend is the FWT proxy"
seasonal-shift,dip_trend_fwt_proxy,-0.2068099325600391,0.022816241556959268,-0.22415368829388174,0.017997909902561785,0.017343755733842642,3,negative slope = later shifts hurt less
sleep-ablation,final_reward,-0.10671356087550521,0.06323787207432474,-0.12556772811027864,0.025377569152028153,0.018854167234773428,3,control = wake-only (no consolidation)
reset-anticipation,js_divergence,0.011792986221381875,0.005411212482396025,0.013585192759105627,0.003050551065041834,-0.001792206537723752,3,EXPECTED ~zero vs null; exceeding null q95 = stop-and-investigate
